[09:56:03] [INFO] received Windows console close event; shutting log-core down
[09:56:41] [INFO] received Windows console close event; shutting log-core down
[23:10:36] [INFO] received Windows console close event; shutting log-core down
[23:12:52] [INFO] received Windows console close event; shutting log-core down
[23:13:52] [INFO] received Windows console close event; shutting log-core down
[23:15:04] [INFO] received Windows console close event; shutting log-core down
[23:15:05] [INFO] received Windows console close event; shutting log-core down
[23:15:34] [INFO] received Windows console close event; shutting log-core down
[23:15:56] [INFO] received Windows console close event; shutting log-core down
[23:16:06] [INFO] received Windows console close event; shutting log-core down
[23:16:43] [INFO] received Windows console close event; shutting log-core down
[23:22:44] [INFO] received Windows console close event; shutting log-core down
[23:23:05] [INFO] received Windows console close event; shutting log-core down
[09:44:58] [INFO] received Windows console close event; shutting log-core down
[09:45:51] [INFO] received Windows console close event; shutting log-core down
[06:47:39] [INFO] received Windows console close event; shutting log-core down
[06:48:00] [INFO] received Windows console close event; shutting log-core down
[06:48:11] [INFO] received Windows console close event; shutting log-core down
[06:49:06] [INFO] received Windows console close event; shutting log-core down
[06:50:34] [INFO] received Windows console close event; shutting log-core down
[06:50:50] [INFO] received Windows console close event; shutting log-core down
[06:53:20] [INFO] received Windows console close event; shutting log-core down
[06:54:38] [INFO] received Windows console close event; shutting log-core down
[06:54:42] [INFO] received Windows console close event; shutting log-core down
[06:54:53] [INFO] received Windows console close event; shutting log-core down
[06:57:22] [INFO] received Windows console close event; shutting log-core down
[06:57:32] [INFO] received Windows console close event; shutting log-core down
[09:36:49] [INFO] received Windows console close event; shutting log-core down
[09:37:12] [INFO] received Windows console close event; shutting log-core down
[09:37:35] [INFO] received Windows console close event; shutting log-core down
[14:42:55] [INFO] received Windows console close event; shutting log-core down
[14:49:24] [INFO] received Windows console close event; shutting log-core down
[14:51:22] [INFO] received Windows console close event; shutting log-core down
[14:51:43] [INFO] received Windows console close event; shutting log-core down
[08:58:12] [INFO] received Windows console close event; shutting log-core down
[09:36:57] [INFO] received Windows console close event; shutting log-core down
[09:39:02] [INFO] received Windows console close event; shutting log-core down
[09:39:58] [INFO] received Windows console close event; shutting log-core down
[09:44:21] [INFO] received Windows console close event; shutting log-core down
[09:44:54] [INFO] received Windows console close event; shutting log-core down
[09:44:59] [INFO] received Windows console close event; shutting log-core down
[09:45:08] [INFO] received Windows console close event; shutting log-core down
[09:53:02] [INFO] received Windows console close event; shutting log-core down
[09:53:09] [INFO] received Windows console close event; shutting log-core down
[09:55:53] [INFO] received Windows console close event; shutting log-core down
[10:03:34] [INFO] received Windows console close event; shutting log-core down
[10:09:49] [INFO] received Windows console close event; shutting log-core down
[10:12:08] [INFO] received Windows console close event; shutting log-core down
[10:13:40] [INFO] received Windows console close event; shutting log-core down
[10:14:29] [INFO] received Windows console close event; shutting log-core down
[10:15:40] [INFO] received Windows console close event; shutting log-core down
[10:24:16] [INFO] received Windows console close event; shutting log-core down
[10:26:03] [INFO] received Windows console close event; shutting log-core down
[10:29:29] [INFO] received Windows console close event; shutting log-core down
[10:29:54] [INFO] received Windows console close event; shutting log-core down
[10:31:57] [INFO] received Windows console close event; shutting log-core down
[08:41:22] [INFO] received Windows console close event; shutting log-core down
[08:43:08] [INFO] received Windows console close event; shutting log-core down
[08:48:39] [INFO] received Windows console close event; shutting log-core down
[08:53:38] [INFO] received Windows console close event; shutting log-core down
[09:20:20] [INFO] received Windows console close event; shutting log-core down
[09:23:50] [INFO] received Windows console close event; shutting log-core down
[09:04:06] [INFO] received Windows console close event; shutting log-core down
[09:08:38] [INFO] received Windows console close event; shutting log-core down
[09:14:12] [INFO] received Windows console close event; shutting log-core down
[09:22:19] [INFO] received Windows console close event; shutting log-core down
[09:24:56] [INFO] received Windows console close event; shutting log-core down
[10:02:04] [INFO] received Windows console close event; shutting log-core down
[10:03:44] [INFO] received Windows console close event; shutting log-core down
[10:04:42] [INFO] received Windows console close event; shutting log-core down
[10:11:45] [INFO] received Windows console close event; shutting log-core down
[10:13:40] [INFO] received Windows console close event; shutting log-core down
[10:16:21] [INFO] received Windows console close event; shutting log-core down
[10:17:35] [INFO] received Windows console close event; shutting log-core down
[10:28:00] [INFO] received Windows console close event; shutting log-core down
[10:34:27] [INFO] received Windows console close event; shutting log-core down
[10:47:49] [INFO] received Windows console close event; shutting log-core down
[10:55:31] [INFO] received Windows console close event; shutting log-core down
[10:59:13] [INFO] received Windows console close event; shutting log-core down
[11:23:06] [INFO] received Windows console close event; shutting log-core down
[09:14:10] [INFO] received Windows console close event; shutting log-core down
[10:52:44] [INFO] received Windows console close event; shutting log-core down
[10:54:27] [INFO] received Windows console close event; shutting log-core down
[10:54:46] [INFO] received Windows console close event; shutting log-core down
